date,title,link
2020-02-04,Indonesian Navy stations chopper in Malacca Strait,https://en.antaranews.com/news/140737/indonesian-navy-stations-chopper-in-malacca-strait
2020-01-17,Indonesian Navy thwarts attempt to smuggle protected animals,https://en.antaranews.com/news/139824/indonesian-navy-thwarts-attempt-to-smuggle-protected-animals
2020-01-08,Mily chief orders Navy to drive away fishing vessels in EEZ,https://en.antaranews.com/news/139372/mily-chief-orders-navy-to-drive-away-fishing-vessels-in-eez
2019-12-12,Two Indonesian warships on diplomatic mission docked in Timor Leste,https://en.antaranews.com/news/138012/two-indonesian-warships-on-diplomatic-mission-docked-in-timor-leste
2019-12-07,Navy arrests fisherman over fish bombing charges in East Flores,https://en.antaranews.com/news/137791/navy-arrests-fisherman-over-fish-bombing-charges-in-east-flores
2019-11-30,Patrol team arrests two fishermen on charges of blast fishing,https://en.antaranews.com/news/137432/patrol-team-arrests-two-fishermen-on-charges-of-blast-fishing
2019-11-13,Navy arrests four PNG citizens for possession of illegal cacao,https://en.antaranews.com/news/136463/navy-arrests-four-png-citizens-for-possession-of-illegal-cacao
2019-10-30,Indonesian Navy thwarts human trafficking attempt to Malaysia,https://en.antaranews.com/news/135619/indonesian-navy-thwarts-human-trafficking-attempt-to-malaysia
2019-09-12,"Indonesia, Australia conduct joint maritime patrol exercise in NTT",https://en.antaranews.com/news/132632/indonesia-australia-conduct-joint-maritime-patrol-exercise-in-ntt
2019-04-11,Two Indonesian Navy personnel killed by commuter train in Pasar Minggu,https://en.antaranews.com/news/123419/two-indonesian-navy-personnel-killed-by-commuter-train-in-pasar-minggu
2019-03-19,Indonesian Navy foils smuggling attempt of 50 kg meth from Thailand,https://en.antaranews.com/news/122803/indonesian-navy-foils-smuggling-attempt-of-50-kg-meth-from-thailand
2019-01-21,PT PAL hands over hospital ship to Indonesian Navy,https://en.antaranews.com/news/121937/pt-pal-hands-over-hospital-ship-to-indonesian-navy
2018-10-29,Navy`s frogmen prepared to dive to find crashed JT610 aircraft,https://en.antaranews.com/news/119976/navys-frogmen-prepared-to-dive-to-find-crashed-jt610-aircraft
2018-10-29,Navy dispatches warships to search crashed Lion Air,https://en.antaranews.com/news/119965/navy-dispatches-warships-to-search-crashed-lion-air
2018-10-21,Indonesian Navy foils baby lobsters smuggling in riau,https://en.antaranews.com/news/119746/indonesian-navy-foils-baby-lobsters-smuggling-in-riau
